loss,n,k,N,seed,d,run_dir,best_margin_in_run
InfoNCE,20,2,190,0,25,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/infonce_random_initialization/b_rel_0/graph_n_20_k_2_N_190_seed_0/d_25,0.2075621671974659
InfoNCE,20,2,190,0,30,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/infonce_random_initialization/b_rel_0/graph_n_20_k_2_N_190_seed_0/d_30,0.23635811731219292
InfoNCE,20,2,190,0,5,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/infonce_random_initialization/b_rel_0/graph_n_20_k_2_N_190_seed_0/d_5,-0.10067103803157806
InfoNCE,220,2,24090,0,15,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/infonce_random_initialization/b_rel_0/graph_n_220_k_2_N_24090_seed_0/d_15,-0.10976822674274445
InfoNCE,220,2,24090,0,20,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/infonce_random_initialization/b_rel_0/graph_n_220_k_2_N_24090_seed_0/d_20,-0.058485522866249084
InfoNCE,220,2,24090,0,25,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/infonce_random_initialization/b_rel_0/graph_n_220_k_2_N_24090_seed_0/d_25,0.004666447639465332
InfoNCE,220,2,24090,0,30,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/infonce_random_initialization/b_rel_0/graph_n_220_k_2_N_24090_seed_0/d_30,0.03270341455936432
InfoNCE,220,2,24090,0,5,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/infonce_random_initialization/b_rel_0/graph_n_220_k_2_N_24090_seed_0/d_5,-0.2659079283475876
InfoNCE,240,2,28680,0,15,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/infonce_random_initialization/b_rel_0/graph_n_240_k_2_N_28680_seed_0/d_15,-0.12082166969776154
InfoNCE,240,2,28680,0,20,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/infonce_random_initialization/b_rel_0/graph_n_240_k_2_N_28680_seed_0/d_20,-0.066241055727005
InfoNCE,240,2,28680,0,25,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/infonce_random_initialization/b_rel_0/graph_n_240_k_2_N_28680_seed_0/d_25,-0.0023997873067855835
InfoNCE,240,2,28680,0,30,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/infonce_random_initialization/b_rel_0/graph_n_240_k_2_N_28680_seed_0/d_30,0.03242754936218262
InfoNCE,240,2,28680,0,5,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/infonce_random_initialization/b_rel_0/graph_n_240_k_2_N_28680_seed_0/d_5,-0.2863026261329651
InfoNCE,40,2,780,0,15,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/infonce_random_initialization/b_rel_0/graph_n_40_k_2_N_780_seed_0/d_15,0.0492476224899292
InfoNCE,40,2,780,0,20,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/infonce_random_initialization/b_rel_0/graph_n_40_k_2_N_780_seed_0/d_20,0.10714934766292572
InfoNCE,40,2,780,0,25,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/infonce_random_initialization/b_rel_0/graph_n_40_k_2_N_780_seed_0/d_25,0.13752220571041107
InfoNCE,40,2,780,0,30,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/infonce_random_initialization/b_rel_0/graph_n_40_k_2_N_780_seed_0/d_30,0.16538071632385254
InfoNCE,40,2,780,0,5,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/infonce_random_initialization/b_rel_0/graph_n_40_k_2_N_780_seed_0/d_5,-0.24509774148464203
InfoNCE,60,2,1770,0,15,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/infonce_random_initialization/b_rel_0/graph_n_60_k_2_N_1770_seed_0/d_15,0.0004296302795410156
InfoNCE,60,2,1770,0,20,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/infonce_random_initialization/b_rel_0/graph_n_60_k_2_N_1770_seed_0/d_20,0.07159607112407684
InfoNCE,60,2,1770,0,25,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/infonce_random_initialization/b_rel_0/graph_n_60_k_2_N_1770_seed_0/d_25,0.09904290735721588
InfoNCE,60,2,1770,0,30,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/infonce_random_initialization/b_rel_0/graph_n_60_k_2_N_1770_seed_0/d_30,0.13554918766021729
InfoNCE,60,2,1770,0,5,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/infonce_random_initialization/b_rel_0/graph_n_60_k_2_N_1770_seed_0/d_5,-0.2417336255311966
InfoNCE,80,2,3160,0,15,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/infonce_random_initialization/b_rel_0/graph_n_80_k_2_N_3160_seed_0/d_15,-0.030893966555595398
InfoNCE,80,2,3160,0,20,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/infonce_random_initialization/b_rel_0/graph_n_80_k_2_N_3160_seed_0/d_20,0.040817439556121826
InfoNCE,80,2,3160,0,25,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/infonce_random_initialization/b_rel_0/graph_n_80_k_2_N_3160_seed_0/d_25,0.07502743601799011
InfoNCE,80,2,3160,0,30,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/infonce_random_initialization/b_rel_0/graph_n_80_k_2_N_3160_seed_0/d_30,0.11626239120960236
InfoNCE,80,2,3160,0,5,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/infonce_random_initialization/b_rel_0/graph_n_80_k_2_N_3160_seed_0/d_5,-0.2587374746799469
SigLIP,100,2,4950,0,15,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/sigmoid_random_initialization/b_rel_0/graph_n_100_k_2_N_4950_seed_0/d_15,0.062008336186409
SigLIP,100,2,4950,0,20,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/sigmoid_random_initialization/b_rel_0/graph_n_100_k_2_N_4950_seed_0/d_20,0.08648360520601273
SigLIP,100,2,4950,0,25,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/sigmoid_random_initialization/b_rel_0/graph_n_100_k_2_N_4950_seed_0/d_25,0.11488743126392365
SigLIP,100,2,4950,0,30,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/sigmoid_random_initialization/b_rel_0/graph_n_100_k_2_N_4950_seed_0/d_30,0.13858404010534286
SigLIP,100,2,4950,0,5,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/sigmoid_random_initialization/b_rel_0/graph_n_100_k_2_N_4950_seed_0/d_5,-0.0037521362537518144
