loss,n,N,d,positive_score_minimum,negative_score_maximum,extrema_midpoint_threshold,margin,false_positive_count,negative_count,false_positive_rate,false_negative_count,positive_count,false_negative_rate
InfoNCE,220,24090,9,0.4393761456012726,0.8703659772872925,0.6548710614442825,-0.4309898316860199,12247,5251620,0.002332042303136937,41628,48180,0.8640099626400997
InfoNCE,220,24090,10,0.4242483973503113,0.8511398434638977,0.6376941204071045,-0.4268914461135864,13158,5251620,0.0025055125846881535,38314,48180,0.7952262349522623
InfoNCE,220,24090,11,0.4575785994529724,0.8212985992431641,0.6394385993480682,-0.36371999979019165,9689,5251620,0.001844954509275233,37210,48180,0.7723121627231216
InfoNCE,220,24090,12,0.4520803689956665,0.7805407643318176,0.6163105666637421,-0.3284603953361511,11692,5251620,0.0022263606277681935,31612,48180,0.6561228725612287
InfoNCE,220,24090,13,0.4391237497329712,0.7753649950027466,0.6072443723678589,-0.3362412452697754,11278,5251620,0.0021475278104661037,28272,48180,0.586799501867995
InfoNCE,220,24090,14,0.44016551971435547,0.7439126968383789,0.5920391082763672,-0.30374717712402344,11131,5251620,0.002119536447800869,22710,48180,0.4713574097135741
InfoNCE,220,24090,15,0.4334741532802582,0.7284144759178162,0.5809443145990372,-0.294940322637558,11539,5251620,0.002197226760504378,17810,48180,0.3696554586965546
InfoNCE,220,24090,16,0.4412863850593567,0.700114905834198,0.5707006454467773,-0.2588285207748413,7984,5251620,0.0015202927858451298,15140,48180,0.31423827314238273
InfoNCE,220,24090,17,0.43075600266456604,0.667434811592102,0.549095407128334,-0.236678808927536,9186,5251620,0.0017491745404275253,8480,48180,0.17600664176006642
InfoNCE,220,24090,18,0.42500171065330505,0.6456289887428284,0.5353153496980667,-0.22062727808952332,6853,5251620,0.0013049306690126094,5760,48180,0.11955168119551682
InfoNCE,220,24090,19,0.4291188716888428,0.6395989060401917,0.5343588888645172,-0.21048003435134888,4012,5251620,0.0007639547415845016,5100,48180,0.10585305105853052
InfoNCE,220,24090,20,0.4298567771911621,0.6079058051109314,0.5188812911510468,-0.1780490279197693,2476,5251620,0.00047147356434776316,2758,48180,0.05724366957243669
InfoNCE,220,24090,21,0.42841726541519165,0.5961588621139526,0.5122880637645721,-0.167741596698761,1616,5251620,0.0003077145718844852,1812,48180,0.03760896637608967
InfoNCE,220,24090,22,0.4194912314414978,0.5784927606582642,0.498991996049881,-0.15900152921676636,1208,5251620,0.00023002425918097654,830,48180,0.017227065172270652
InfoNCE,220,24090,23,0.42385929822921753,0.5663252472877502,0.4950922727584839,-0.14246594905853271,529,5251620,0.00010073082210822566,646,48180,0.013408053134080531
InfoNCE,220,24090,24,0.41988661885261536,0.541702151298523,0.48079438507556915,-0.12181553244590759,476,5251620,9.06386981540934e-05,300,48180,0.0062266500622665
InfoNCE,220,24090,25,0.43104082345962524,0.514794111251831,0.47291746735572815,-0.08375328779220581,234,5251620,4.4557679344659364e-05,160,48180,0.0033208800332088003
InfoNCE,220,24090,26,0.42852818965911865,0.5045291185379028,0.46652865409851074,-0.07600092887878418,180,5251620,3.4275137957430276e-05,76,48180,0.00157741801577418
InfoNCE,220,24090,27,0.4408051073551178,0.49002277851104736,0.4654139429330826,-0.049217671155929565,34,5251620,6.474192725292386e-06,70,48180,0.0014528850145288502
InfoNCE,220,24090,28,0.4376871883869171,0.4820316433906555,0.4598594158887863,-0.0443444550037384,21,5251620,3.9987660950335324e-06,22,48180,0.00045662100456621003
InfoNCE,220,24090,29,0.43618667125701904,0.4686855971813202,0.4524361342191696,-0.03249892592430115,9,5251620,1.713756897871514e-06,10,48180,0.00020755500207555002
InfoNCE,220,24090,30,0.454032838344574,0.46195852756500244,0.4579956829547882,-0.007925689220428467,1,5251620,1.9041743309683488e-07,4,48180,8.302200083022001e-05
InfoNCE,240,28680,5,0.4267338514328003,0.993592381477356,0.7101631164550781,-0.5668585300445557,16696,6825840,0.0024459993202301843,55302,57360,0.9641213389121339
InfoNCE,240,28680,6,0.4961870014667511,0.9533509016036987,0.7247689515352249,-0.45716390013694763,7063,6825840,0.0010347444417097382,55918,57360,0.974860529986053
InfoNCE,240,28680,7,0.42705580592155457,0.9545393586158752,0.6907975822687149,-0.5274835526943207,13860,6825840,0.002030519320698991,53966,57360,0.9408298465829846
InfoNCE,240,28680,8,0.39294829964637756,0.9489129185676575,0.6709306091070175,-0.5559646189212799,13198,6825840,0.0019335349202442484,52980,57360,0.9236401673640168
InfoNCE,240,28680,9,0.4042288661003113,0.8941383361816406,0.649183601140976,-0.48990947008132935,15287,6825840,0.0022395778395040023,50078,57360,0.873047419804742
InfoNCE,240,28680,10,0.394405722618103,0.8963136076927185,0.6453596651554108,-0.5019078850746155,15184,6825840,0.002224488121608476,47338,57360,0.825278940027894
InfoNCE,240,28680,11,0.4216647744178772,0.8241420984268188,0.622903436422348,-0.40247732400894165,15372,6825840,0.0022520305193206988,42966,57360,0.7490585774058578
InfoNCE,240,28680,12,0.4548623263835907,0.7791227102279663,0.6169925183057785,-0.3242603838443756,15821,6825840,0.002317809969175955,37917,57360,0.6610355648535565
InfoNCE,240,28680,13,0.41551288962364197,0.782784104347229,0.5991484969854355,-0.36727121472358704,15405,6825840,0.002256865089131887,32305,57360,0.563197350069735
InfoNCE,240,28680,14,0.44472479820251465,0.7633946537971497,0.6040597259998322,-0.318669855594635,12524,6825840,0.0018347924944036192,30565,57360,0.5328626220362622
InfoNCE,240,28680,15,0.4373341500759125,0.7265282869338989,0.5819312185049057,-0.28919413685798645,14712,6825840,0.0021553391230969376,23348,57360,0.40704323570432355
InfoNCE,240,28680,16,0.4252234399318695,0.7225832939147949,0.5739033669233322,-0.2973598539829254,10867,6825840,0.0015920384890357818,18185,57360,0.31703277545327757
InfoNCE,240,28680,17,0.43115419149398804,0.6886214017868042,0.5598877966403961,-0.25746721029281616,9500,6825840,0.001391770097160203,14113,57360,0.24604253835425383
InfoNCE,240,28680,18,0.42763715982437134,0.665212869644165,0.5464250147342682,-0.2375757098197937,7496,6825840,0.0010981798577171455,8971,57360,0.15639818688981869
InfoNCE,240,28680,19,0.4383423626422882,0.6543465256690979,0.546344444155693,-0.2160041630268097,3453,6825840,0.0005058718047888612,8348,57360,0.14553695955369594
InfoNCE,240,28680,20,0.4290982186794281,0.6320107579231262,0.5305544883012772,-0.20291253924369812,2852,6825840,0.000417824033379042,5060,57360,0.08821478382147838
InfoNCE,240,28680,21,0.4278431832790375,0.6169753074645996,0.5224092453718185,-0.18913212418556213,2199,6825840,0.00032215815196371436,3288,57360,0.057322175732217574
InfoNCE,240,28680,22,0.4283446669578552,0.5725252628326416,0.5004349648952484,-0.14418059587478638,2441,6825840,0.0003576116639124269,1152,57360,0.0200836820083682
InfoNCE,240,28680,23,0.4272070527076721,0.5782255530357361,0.5027163028717041,-0.15101850032806396,783,6825840,0.00011471115642909883,1138,57360,0.01983960948396095
InfoNCE,240,28680,24,0.4294232726097107,0.5493959784507751,0.4894096255302429,-0.11997270584106445,558,6825840,8.174818044372561e-05,536,57360,0.009344490934449093
InfoNCE,240,28680,25,0.4317060708999634,0.5469632744789124,0.48933467268943787,-0.11525720357894897,144,6825840,2.1096304630638866e-05,466,57360,0.008124128312412831
InfoNCE,240,28680,26,0.43103593587875366,0.518092155456543,0.4745640456676483,-0.0870562195777893,171,6825840,2.5051861748883655e-05,170,57360,0.0029637377963737796
InfoNCE,240,28680,27,0.4368956983089447,0.49625372886657715,0.4665747135877609,-0.059358030557632446,81,6825840,1.1866671354734363e-05,98,57360,0.001708507670850767
InfoNCE,240,28680,28,0.43644627928733826,0.4835949242115021,0.46002060174942017,-0.04714864492416382,46,6825840,6.739097312565194e-06,36,57360,0.0006276150627615063
InfoNCE,240,28680,29,0.44326478242874146,0.48329630494117737,0.4632805436849594,-0.04003152251243591,9,6825840,1.3185190394149291e-06,32,57360,0.0005578800557880056
InfoNCE,240,28680,30,0.46072688698768616,0.4768751859664917,0.46880103647708893,-0.016148298978805542,1,6825840,1.465021154905477e-07,24,57360,0.00041841004184100416
Sigmoid,20,190,5,0.0007766455528326333,0.0006751078763045371,0.0007258767145685852,0.0001015376765280962,0,3420,0.0,0,380,0.0
Sigmoid,20,190,6,0.009585448540747166,-0.010155872441828251,-0.0002852119505405426,0.019741320982575417,0,3420,0.0,0,380,0.0
Sigmoid,20,190,7,0.04215444624423981,-0.043176524341106415,-0.0005110390484333038,0.08533097058534622,0,3420,0.0,0,380,0.0
Sigmoid,20,190,8,0.07612375169992447,-0.07716022431850433,-0.0005182363092899323,0.1532839760184288,0,3420,0.0,0,380,0.0
Sigmoid,20,190,9,0.1080213263630867,-0.10898895561695099,-0.00048381462693214417,0.2170102819800377,0,3420,0.0,0,380,0.0
Sigmoid,20,190,10,0.10743838548660278,-0.11226155608892441,-0.0024115853011608124,0.2196999415755272,0,3420,0.0,0,380,0.0
Sigmoid,20,190,11,0.1322980374097824,-0.13934841752052307,-0.003525190055370331,0.2716464549303055,0,3420,0.0,0,380,0.0
Sigmoid,20,190,12,0.15024729073047638,-0.1541590541601181,-0.001955881714820862,0.3044063448905945,0,3420,0.0,0,380,0.0
Sigmoid,20,190,13,0.1648600548505783,-0.1700286716222763,-0.002584308385848999,0.3348887264728546,0,3420,0.0,0,380,0.0
Sigmoid,20,190,14,0.178383469581604,-0.18512491881847382,-0.003370724618434906,0.3635083884000778,0,3420,0.0,0,380,0.0
Sigmoid,20,190,15,0.19365325570106506,-0.20383885502815247,-0.005092799663543701,0.39749211072921753,0,3420,0.0,0,380,0.0
Sigmoid,20,190,16,0.21514330804347992,-0.22871699929237366,-0.006786845624446869,0.4438603073358536,0,3420,0.0,0,380,0.0
Sigmoid,20,190,17,0.22552961111068726,-0.2388593852519989,-0.006664887070655823,0.46438899636268616,0,3420,0.0,0,380,0.0
Sigmoid,20,190,18,0.23226293921470642,-0.24409320950508118,-0.005915135145187378,0.4763561487197876,0,3420,0.0,0,380,0.0
Sigmoid,20,190,19,0.24065034091472626,-0.2495100200176239,-0.004429839551448822,0.49016036093235016,0,3420,0.0,0,380,0.0
Sigmoid,20,190,20,0.2818206250667572,-0.29787445068359375,-0.008026912808418274,0.579695075750351,0,3420,0.0,0,380,0.0
Sigmoid,20,190,21,0.28189343214035034,-0.2978186011314392,-0.007962584495544434,0.5797120332717896,0,3420,0.0,0,380,0.0
Sigmoid,20,190,22,0.2819609045982361,-0.29801174998283386,-0.00802542269229889,0.57997265458107,0,3420,0.0,0,380,0.0
Sigmoid,20,190,23,0.28186511993408203,-0.2980502247810364,-0.008092552423477173,0.5799153447151184,0,3420,0.0,0,380,0.0
Sigmoid,20,190,24,0.2819117307662964,-0.298123836517334,-0.008106052875518799,0.5800355672836304,0,3420,0.0,0,380,0.0
Sigmoid,20,190,25,0.28191348910331726,-0.2981412410736084,-0.008113875985145569,0.5800547301769257,0,3420,0.0,0,380,0.0
Sigmoid,20,190,26,0.2819706201553345,-0.2982005476951599,-0.00811496376991272,0.5801711678504944,0,3420,0.0,0,380,0.0
Sigmoid,20,190,27,0.28194212913513184,-0.2981835603713989,-0.008120715618133545,0.5801256895065308,0,3420,0.0,0,380,0.0
Sigmoid,20,190,28,0.2819242477416992,-0.2981601655483246,-0.008117958903312683,0.5800844132900238,0,3420,0.0,0,380,0.0
Sigmoid,20,190,29,0.28197765350341797,-0.2981722056865692,-0.008097276091575623,0.5801498591899872,0,3420,0.0,0,380,0.0
Sigmoid,20,190,30,0.28193145990371704,-0.2981724143028259,-0.008120477199554443,0.580103874206543,0,3420,0.0,0,380,0.0
Sigmoid,40,780,5,-0.002043279120698571,0.0019642228726297617,-3.9528124034404755e-05,-0.004007501993328333,40,29640,0.001349527665317139,469,1560,0.3006410256410256
Sigmoid,40,780,6,-0.002368876477703452,0.001964269671589136,-0.000202303403057158,-0.004333146149292588,16,29640,0.0005398110661268556,25,1560,0.016025641025641024
Sigmoid,40,780,7,0.007620702031999826,-0.007466989103704691,7.685646414756775e-05,0.015087691135704517,0,29640,0.0,0,1560,0.0
Sigmoid,40,780,8,0.02367488108575344,-0.023558642715215683,5.811918526887894e-05,0.047233523800969124,0,29640,0.0,0,1560,0.0
Sigmoid,40,780,9,0.04055534675717354,-0.042641278356313705,-0.0010429657995700836,0.08319662511348724,0,29640,0.0,0,1560,0.0
Sigmoid,40,780,10,0.056073423475027084,-0.057981494814157486,-0.0009540356695652008,0.11405491828918457,0,29640,0.0,0,1560,0.0
Sigmoid,40,780,11,0.05084041506052017,-0.053423065692186356,-0.0012913253158330917,0.10426348075270653,0,29640,0.0,0,1560,0.0
Sigmoid,40,780,12,0.08954896777868271,-0.09085296839475632,-0.0006520003080368042,0.18040193617343903,0,29640,0.0,0,1560,0.0
Sigmoid,40,780,13,0.08761680871248245,-0.09045679122209549,-0.0014199912548065186,0.17807359993457794,0,29640,0.0,0,1560,0.0
Sigmoid,40,780,14,0.10022244602441788,-0.10456133633852005,-0.0021694451570510864,0.20478378236293793,0,29640,0.0,0,1560,0.0
Sigmoid,40,780,15,0.10975471884012222,-0.11372852325439453,-0.001986902207136154,0.22348324209451675,0,29640,0.0,0,1560,0.0
Sigmoid,40,780,16,0.1191469132900238,-0.12352173030376434,-0.0021874085068702698,0.24266864359378815,0,29640,0.0,0,1560,0.0
Sigmoid,40,780,17,0.12826016545295715,-0.13359762728214264,-0.002668730914592743,0.2618577927350998,0,29640,0.0,0,1560,0.0
Sigmoid,40,780,18,0.13594043254852295,-0.14268989861011505,-0.003374733030796051,0.278630331158638,0,29640,0.0,0,1560,0.0
Sigmoid,40,780,19,0.1451706737279892,-0.15209193527698517,-0.003460630774497986,0.29726260900497437,0,29640,0.0,0,1560,0.0
Sigmoid,40,780,20,0.156853586435318,-0.16898907721042633,-0.006067745387554169,0.3258426636457443,0,29640,0.0,0,1560,0.0
Sigmoid,40,780,21,0.1678256243467331,-0.17727318406105042,-0.004723779857158661,0.3450988084077835,0,29640,0.0,0,1560,0.0
