loss,n,N,d,positive_score_mean,negative_score_mean,midpoint_threshold,false_positive_count,negative_count,false_positive_rate,false_negative_count,positive_count,false_negative_rate
InfoNCE,80,3160,14,0.6488584418934358,-0.016307912899217084,0.31627526449710935,27203,246480,0.11036595261278806,0,6320,0.0
InfoNCE,80,3160,15,0.6510155318941496,-0.016399087915800328,0.31730822198917463,23486,246480,0.09528562155144434,0,6320,0.0
InfoNCE,80,3160,16,0.6540667599279292,-0.016231381423010696,0.3189176892524592,19722,246480,0.08001460564751704,0,6320,0.0
InfoNCE,80,3160,17,0.6569363560197474,-0.016333034700389958,0.32030166065967874,15686,246480,0.06364005193119117,0,6320,0.0
InfoNCE,80,3160,18,0.6579761608303347,-0.016505747330215263,0.32073520675005973,12513,246480,0.0507667964946446,0,6320,0.0
InfoNCE,80,3160,19,0.6586298003887074,-0.016632685690648637,0.3209985573490294,9076,246480,0.03682246024018176,0,6320,0.0
InfoNCE,80,3160,20,0.6594399522942833,-0.016516962134020288,0.3214614950801315,6092,246480,0.02471600129827978,0,6320,0.0
InfoNCE,80,3160,21,0.6592829434083233,-0.01664078558457516,0.32132107891187406,4260,246480,0.017283349561830575,0,6320,0.0
InfoNCE,80,3160,22,0.6582170950508193,-0.0165062549193623,0.3208554200657285,3008,246480,0.012203829925348913,0,6320,0.0
InfoNCE,80,3160,23,0.6582089903186771,-0.016529040044426936,0.3208399751371251,1792,246480,0.00727036676403765,0,6320,0.0
InfoNCE,80,3160,24,0.6576935859845031,-0.016479074231219967,0.3206072558766416,1110,246480,0.004503407984420642,0,6320,0.0
InfoNCE,80,3160,25,0.6587528131760751,-0.01642992914275654,0.3211614420166593,586,246480,0.002377474845829276,0,6320,0.0
InfoNCE,80,3160,26,0.6585821179083631,-0.016483164378884762,0.32104947676473916,333,246480,0.0013510223953261927,0,6320,0.0
InfoNCE,80,3160,27,0.6555532922237357,-0.016195774486792006,0.31967875886847186,196,246480,0.000795196364816618,0,6320,0.0
InfoNCE,80,3160,28,0.6559237617480604,-0.016137056956796233,0.3198933523956321,98,246480,0.000397598182408309,0,6320,0.0
InfoNCE,80,3160,29,0.6570683406736655,-0.016260256587397222,0.3204040420431341,35,246480,0.00014199935086011035,0,6320,0.0
InfoNCE,80,3160,30,0.6540628768267888,-0.016195219893946424,0.31893382846642115,16,246480,6.491398896462187e-05,0,6320,0.0
InfoNCE,100,4950,5,0.5406999775827533,-0.00031783083545588233,0.2701910733736487,182445,485100,0.3760977118119975,0,9900,0.0
InfoNCE,100,4950,6,0.544202155747799,-0.009618542558252029,0.2672918065947735,160820,485100,0.33151927437641726,0,9900,0.0
InfoNCE,100,4950,7,0.5608393767024531,-0.011404643192619211,0.2747173667549169,134338,485100,0.27692846835703977,0,9900,0.0
InfoNCE,100,4950,8,0.5709419076340367,-0.012576821832604914,0.2791825429007159,116313,485100,0.23977118119975263,0,9900,0.0
InfoNCE,100,4950,9,0.5887766981847359,-0.012856923042983638,0.2879598875708761,101341,485100,0.20890744176458462,0,9900,0.0
InfoNCE,100,4950,10,0.6059510815956376,-0.012133466777506268,0.29690880740906567,90894,485100,0.18737167594310453,0,9900,0.0
InfoNCE,100,4950,11,0.6193173057713894,-0.012485115913314406,0.30341609492903754,81703,485100,0.16842506699649556,0,9900,0.0
InfoNCE,100,4950,12,0.6303160653240752,-0.012687337630743974,0.30881436384666566,71327,485100,0.14703566274994848,0,9900,0.0
InfoNCE,100,4950,13,0.6392146003125894,-0.012827363022055055,0.3131936186452672,63640,485100,0.13118944547515976,0,9900,0.0
InfoNCE,100,4950,14,0.6430927481946319,-0.012995190120198818,0.31504877903721656,57299,485100,0.11811791383219955,0,9900,0.0
InfoNCE,100,4950,15,0.6491474324434695,-0.013035316414668216,0.3180560580144006,50656,485100,0.10442383013811585,0,9900,0.0
InfoNCE,100,4950,16,0.6526838324015791,-0.01311604200050842,0.31978389520053535,44427,485100,0.09158317872603587,0,9900,0.0
InfoNCE,100,4950,17,0.6564374650999754,-0.01303362310466049,0.32170192099765743,37584,485100,0.07747680890538033,0,9900,0.0
InfoNCE,100,4950,18,0.6574495540875377,-0.013165823887267373,0.32214186510013515,31704,485100,0.06535559678416822,0,9900,0.0
InfoNCE,100,4950,19,0.6578761488831405,-0.013045236348989466,0.3224154562670755,24973,485100,0.05148010719439291,0,9900,0.0
InfoNCE,100,4950,20,0.658627182976766,-0.012963131827573169,0.32283202557459645,19276,485100,0.03973613687899402,0,9900,0.0
InfoNCE,100,4950,21,0.6572167917243158,-0.012992397967879531,0.3221121968782181,16092,485100,0.033172541743970316,0,9900,0.0
InfoNCE,100,4950,22,0.6585414681079412,-0.013357958173873858,0.3225917549670337,10675,485100,0.022005772005772004,0,9900,0.0
InfoNCE,100,4950,23,0.6588564637393662,-0.01320128654043417,0.32282758859946603,7305,485100,0.015058750773036486,0,9900,0.0
InfoNCE,100,4950,24,0.6601305314958698,-0.013177949507160423,0.32347629099435465,4556,485100,0.009391877963306535,0,9900,0.0
InfoNCE,100,4950,25,0.6579063005037982,-0.013064492237574306,0.3224209041331119,3770,485100,0.0077715934858792,0,9900,0.0
